ID,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,tanimp,relimp,resimp,asrimp,empimp,oq,rec,use,prob,resolve,sex,mstat,age,inc,ed,reliavrg,empavrg,tangavrg,respavrg,assuravg
176,Agree Slightly,Agree,Agree Slightly,Agree Slightly,Agree Slightly,Agree,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree Slightly,Agree,Agree Slightly,Agree Slightly,Agree,Agree,Agree,10,20,30,20,20,9,Yes,5 or more years,No,NA,Female,Married,25-44,$20K - $29.9 K,High School or Less,5.2,5.2,4.75,5,5.75
177,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10,20,30,30,10,10,Yes,5 or more years,No,NA,Female,Widowed,45-64,$10K-$19.9 K,High School or Less,6.4,6.6,6.5,7,7
178,Agree,Agree Slightly,Agree,Agree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree,Neither Agree Nor Disagree,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree Slightly,Agree,Agree,10,40,15,15,20,8,Yes,5 or more years,No,NA,Male,Married,25-44,$30K-$49.9K,High School or Less,5.2,4.8,5,4.5,5.25
179,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Agree Slightly,Strongly Agree,Agree Slightly,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,5,15,20,40,20,8,Yes,5 or more years,Yes,No,NA,NA,NA,NA,NA,6.8,5.6,7,5,4.5
180,Agree,Strongly Agree,Neither Agree Nor Disagree,Agree,Agree Slightly,Agree Slightly,Agree,Agree,Neither Agree Nor Disagree,Agree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree Slightly,Agree Slightly,Agree,Strongly Agree,Agree,Agree Slightly,Agree,Agree,Agree,5,30,35,25,5,8,Yes,5 or more years,Yes,Yes,Female,Married,25-44,>$65K,College Graduate,5.6,5.2,4.75,6,5.75
181,Disagree,Disagree Slightly,Neither Agree Nor Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree Slightly,Agree Slightly,Agree,Agree,Agree,Agree,Agree Slightly,Agree Slightly,Disagree,Neither Agree Nor Disagree,Disagree,Disagree,Strongly Agree,Agree,10,25,20,20,25,5,No,5 or more years,Yes,Yes,Female,Married,25-44,NA,High School or Less,4.2,5.8,6,4,4.25
182,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree Slightly,Agree,Agree Slightly,Agree Slightly,Agree,Agree Slightly,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree Slightly,Agree Slightly,Agree Slightly,15,25,20,20,20,6,Yes,5 or more years,No,NA,Female,Single,< 25,NA,College Graduate,6,5.6,5.25,4.25,4.75
183,Strongly Agree,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,Strongly Disagree,Agree Slightly,Strongly Agree,Strongly Agree,Agree Slightly,Agree,Agree,Agree,Strongly Agree,Agree Slightly,Neither Agree Nor Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10,50,10,20,10,10,Yes,Less than 1 year,No,NA,Female,Single,< 25,$10K-$19.9 K,Some College,4.4,6,6,6,7
184,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Disagree Slightly,Agree,Agree,Strongly Agree,Strongly Agree,Disagree Slightly,Agree,Disagree Slightly,Disagree Slightly,Strongly Agree,Agree,Agree Slightly,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,10,25,25,20,20,9,Yes,5 or more years,Yes,Yes,Male,Married,25-44,>$65K,Graduate School,4.6,5.8,4.75,6,6.75
185,Agree Slightly,Agree Slightly,Agree Slightly,Disagree Slightly,Disagree Slightly,Neither Agree Nor Disagree,Agree,Agree Slightly,Disagree Slightly,Disagree Slightly,NA,NA,NA,NA,Agree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Agree Slightly,Neither Agree Nor Disagree,Agree,Disagree,10,30,20,20,20,5,No,5 or more years,No,NA,Male,Married,25-44,$30K-$49.9K,College Graduate,4.2,4.2,NA,5,4.25
186,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,0,20,40,30,10,9,Yes,5 or more years,No,NA,Male,Married,25-44,$20K - $29.9 K,High School or Less,1,1.4,1.25,1,1.25
187,Disagree Slightly,Disagree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree Slightly,Disagree,Disagree,Neither Agree Nor Disagree,Disagree Slightly,Disagree Slightly,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree Slightly,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,Agree Slightly,Agree,Agree Slightly,Agree Slightly,10,20,25,25,20,7,Yes,5 or more years,No,NA,Male,Married,25-44,$50K-$64.9,Graduate School,3.4,2.8,4.5,4.75,5.25
188,Agree Slightly,Agree,Agree Slightly,Agree Slightly,Agree Slightly,Agree,Neither Agree Nor Disagree,Strongly Agree,Agree,Agree,Agree Slightly,Agree Slightly,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,10,40,20,15,15,9,Yes,5 or more years,Yes,NA,Female,Single,< 25,$20K - $29.9 K,College Graduate,5.2,5.8,5.5,6,6.25
189,Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Strongly Disagree,Neither Agree Nor Disagree,Strongly Disagree,Disagree,NA,NA,Agree,Strongly Disagree,Disagree Slightly,Disagree Slightly,Disagree Slightly,Disagree,Disagree,Strongly Disagree,Disagree Slightly,Neither Agree Nor Disagree,5,50,25,10,10,8,Yes,5 or more years,No,NA,Female,Married,25-44,$50K-$64.9,Some College,4.4,2.4,3.5,2.75,2.5
190,Neither Agree Nor Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree Slightly,Strongly Agree,Disagree Slightly,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,10,20,10,10,50,9,Yes,5 or more years,No,NA,Female,Widowed,45-64,$20K - $29.9 K,Some College,5.8,5.6,7,6.5,6.25
191,Disagree,Disagree Slightly,Strongly Disagree,Strongly Disagree,Disagree Slightly,Disagree Slightly,Disagree Slightly,Neither Agree Nor Disagree,Disagree Slightly,Disagree Slightly,Strongly Agree,Agree,Agree,Agree,Disagree Slightly,Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Strongly Disagree,Agree,Disagree,10,30,30,20,10,2,No,5 or more years,No,NA,Female,Married,25-44,$50K-$64.9,High School or Less,2,3.2,6.25,2.25,3.25
192,Disagree,Neither Agree Nor Disagree,Disagree,Agree Slightly,Neither Agree Nor Disagree,Agree Slightly,Agree Slightly,Agree Slightly,Strongly Agree,Agree Slightly,Agree Slightly,Disagree Slightly,Agree Slightly,Agree,Disagree Slightly,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Strongly Agree,Agree Slightly,Agree,Neither Agree Nor Disagree,10,35,30,15,10,5,Yes,5 or more years,Yes,Yes,Female,Married,25-44,$20K - $29.9 K,College Graduate,3.4,5.4,4.75,4.25,5.5
193,Disagree Slightly,Disagree Slightly,Neither Agree Nor Disagree,Disagree Slightly,Neither Agree Nor Disagree,Agree Slightly,Agree Slightly,Disagree Slightly,Disagree,Disagree,NA,NA,Agree Slightly,Neither Agree Nor Disagree,Strongly Disagree,Strongly Disagree,Disagree Slightly,Disagree Slightly,Disagree Slightly,Disagree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,NA,NA,NA,NA,NA,4,No,5 or more years,Yes,No,Female,Single,< 25,NA,Some College,3.4,3.4,4.5,2,3.5
194,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,5,30,30,5,30,10,Yes,5 or more years,No,NA,Male,Married,25-44,$30K-$49.9K,College Graduate,7,7,7,7,7
195,Agree Slightly,Agree Slightly,Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neither Agree Nor Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,10,22,22,22,22,9,Yes,Less than 1 year,No,NA,Male,Married,25-44,>$65K,Graduate School,4.8,6,6.25,7,6.5
196,Agree,Agree Slightly,Agree Slightly,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree Slightly,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,10,20,30,20,20,9,Yes,Less than 1 year,No,NA,Female,Divorced,65+,$30K-$49.9K,College Graduate,5.8,7,6.25,7,6.75
197,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,Agree Slightly,Agree,Neither Agree Nor Disagree,Agree Slightly,Neither Agree Nor Disagree,Agree Slightly,Neither Agree Nor Disagree,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,10,25,25,15,25,6,Yes,5 or more years,Yes,Yes,Male,Married,25-44,$20K - $29.9 K,College Graduate,5,4.8,4.5,5,5
198,Agree,Agree,Agree,Agree,Agree,Agree,Agree Slightly,Agree,Agree,Agree,Agree Slightly,Agree Slightly,Agree,Agree Slightly,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,15,20,20,25,20,8,Yes,5 or more years,No,NA,Female,Married,25-44,$30K-$49.9K,High School or Less,6,5.8,5.25,6,6
199,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree Slightly,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10,25,25,25,15,9,Yes,5 or more years,No,NA,Female,Divorced,65+,$30K-$49.9K,Some College,6.8,6.8,5.75,6.75,7
200,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neither Agree Nor Disagree,Agree,Agree Slightly,Agree,NA,NA,Strongly Agree,Agree,Agree,Agree,Agree,Agree Slightly,Agree,Agree,Strongly Agree,Agree,10,30,20,20,20,9,Yes,Less than 1 year,No,NA,Male,Divorced,65+,$30K-$49.9K,High School or Less,6.2,5.4,6.5,5.75,6.25
201,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,20,20,20,20,20,10,Yes,5 or more years,No,NA,Female,Single,< 25,< $10K,High School or Less,7,6.4,7,6.75,7
202,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,NA,NA,NA,Agree Slightly,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,8,14,14,50,14,8,Yes,5 or more years,No,NA,Male,Married,25-44,$30K-$49.9K,High School or Less,6,6,5,6,6
203,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,10,15,20,15,40,9,Yes,5 or more years,No,NA,Male,Married,25-44,NA,College Graduate,7,6.6,7,7,6.5
204,Strongly Agree,Strongly Agree,Agree Slightly,Agree,Agree Slightly,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree Slightly,Agree,Strongly Agree,Agree Slightly,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,NA,NA,NA,NA,NA,8,Yes,5 or more years,Yes,NA,Male,Married,25-44,$20K - $29.9 K,High School or Less,6,6.6,5.75,6.75,6.5
205,Agree,Strongly Agree,Agree Slightly,Agree Slightly,Strongly Agree,Agree,Neither Agree Nor Disagree,Agree,Agree,Strongly Agree,Agree Slightly,Agree,Agree Slightly,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,5,35,20,20,20,9,Yes,5 or more years,No,NA,Male,Divorced,65+,$30K-$49.9K,Some College,6,5.8,5.5,6.75,6.25
206,Strongly Agree,Agree Slightly,Agree Slightly,Agree,Agree,Agree,Neither Agree Nor Disagree,Agree Slightly,Agree Slightly,Agree Slightly,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree Slightly,Agree Slightly,Agree,Agree,Agree,5,20,25,25,25,8,Yes,5 or more years,No,NA,Female,Married,25-44,$30K-$49.9K,Some College,5.8,5,6,5.75,5.75
207,Disagree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree,Agree,Agree,Disagree Slightly,Agree,Agree,Agree,Neither Agree Nor Disagree,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Agree,Agree Slightly,Agree Slightly,Agree Slightly,20,20,20,20,20,7,Yes,5 or more years,No,NA,Male,Married,25-44,$50K-$64.9,Graduate School,4.2,5.4,5.25,5,5.25
208,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree Slightly,Agree Slightly,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree Slightly,Agree,Agree,10,30,20,20,20,8,Yes,5 or more years,No,NA,Female,Married,25-44,$50K-$64.9,College Graduate,7,5.8,5.5,6.5,6
209,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,20,20,20,20,20,10,Yes,5 or more years,No,NA,Female,Widowed,45-64,< $10K,High School or Less,7,7,7,7,7
210,Agree,Agree,Strongly Agree,Agree Slightly,Agree Slightly,Agree,Agree Slightly,Agree Slightly,Agree,Agree,Neither Agree Nor Disagree,Agree Slightly,Agree,Agree Slightly,Agree,Agree,Agree Slightly,Agree,Agree,Agree,Agree,Agree,10,25,25,25,15,8,Yes,1 to 2 years,No,NA,Male,Married,25-44,$30K-$49.9K,High School or Less,5.8,5.6,5,5.75,6
211,Agree Slightly,Strongly Agree,Agree Slightly,Agree Slightly,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree Slightly,Neither Agree Nor Disagree,Agree Slightly,Agree Slightly,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree Slightly,Strongly Agree,Agree,Strongly Agree,Strongly Agree,10,50,10,20,10,8,Yes,5 or more years,No,NA,Male,Divorced,65+,$10K-$19.9 K,High School or Less,5.6,6,6,6.25,6.75
212,Agree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree Slightly,Disagree Slightly,Disagree Slightly,Neither Agree Nor Disagree,Disagree Slightly,Neither Agree Nor Disagree,Disagree Slightly,Agree Slightly,Agree Slightly,Disagree Slightly,Disagree,Disagree Slightly,Agree Slightly,Disagree Slightly,Disagree Slightly,Disagree Slightly,Disagree Slightly,Disagree Slightly,Disagree Slightly,60,10,10,10,10,5,No,5 or more years,No,NA,Female,Married,25-44,$20K - $29.9 K,College Graduate,4.2,3.4,3.75,3.5,3
213,Disagree,Neither Agree Nor Disagree,Strongly Disagree,Strongly Disagree,Disagree,Neither Agree Nor Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Disagree,Strongly Disagree,Disagree,Neither Agree Nor Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Disagree,10,20,20,25,25,2,No,5 or more years,Yes,No,Male,Married,25-44,>$65K,College Graduate,2,2,4,2,2.5
214,Agree,Strongly Agree,Agree Slightly,Agree,Neither Agree Nor Disagree,Strongly Agree,Agree Slightly,Strongly Agree,Agree,Agree,NA,NA,Strongly Agree,Neither Agree Nor Disagree,Agree,Agree Slightly,Strongly Agree,Agree Slightly,Agree Slightly,Agree Slightly,Agree,Agree Slightly,20,20,20,20,20,7,Yes,Less than 1 year,Yes,Yes,Female,Married,25-44,$20K - $29.9 K,Some College,5.6,6.2,5.5,5.75,5.25
215,Agree,Agree,Agree,Agree,Agree,Agree,Agree Slightly,Agree,Agree Slightly,Agree,Agree Slightly,Agree Slightly,Agree,Agree Slightly,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10,35,25,20,10,9,Yes,5 or more years,No,NA,Male,Married,25-44,>$65K,Some College,6,5.6,5.25,6.5,7
216,Agree Slightly,Disagree Slightly,Agree Slightly,Agree Slightly,Agree,Disagree,Neither Agree Nor Disagree,Disagree,Disagree Slightly,Disagree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree Slightly,Neither Agree Nor Disagree,10,30,30,15,15,5,Yes,5 or more years,Yes,Yes,Male,Married,25-44,$30K-$49.9K,High School or Less,4.8,2.8,4.75,4.25,4.25
217,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NA,NA,NA,NA,NA,10,Yes,5 or more years,NA,NA,Female,Married,25-44,NA,High School or Less,6.4,6.4,7,7,7
218,Agree,Strongly Agree,Strongly Agree,Agree,Agree Slightly,Agree,Disagree Slightly,Agree,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NA,Agree,Agree,10,10,50,10,20,8,Yes,5 or more years,No,NA,Male,Married,25-44,$30K-$49.9K,High School or Less,6.2,5,5.75,6.75,6.333333333
219,Agree Slightly,Agree,Agree,Agree Slightly,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,Divorced,65+,$20K - $29.9 K,Some College,5.8,7,NA,NA,NA
220,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree Slightly,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,5,12,50,13,20,9,Yes,1 to 2 years,No,NA,Female,Married,25-44,$30K-$49.9K,College Graduate,6.6,6.6,6.25,7,6.5
221,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,20,20,20,20,20,10,Yes,5 or more years,No,NA,Female,Widowed,45-64,$20K - $29.9 K,Graduate School,7,7,7,7,7
222,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,25,20,20,20,15,9,Yes,Less than 1 year,No,NA,Male,Married,25-44,$30K-$49.9K,Some College,6.2,6.2,6.75,6.75,6.5
223,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Agree Nor Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree Slightly,NA,Neither Agree Nor Disagree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,15,20,20,25,20,1,No,5 or more years,Yes,No,NA,NA,NA,>$65K,NA,1,1.6,3.5,1,1
224,Neither Agree Nor Disagree,Agree Slightly,Disagree Slightly,NA,Disagree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree Slightly,Strongly Disagree,NA,NA,Strongly Agree,Neither Agree Nor Disagree,Strongly Disagree,Agree,Agree,Agree Slightly,Agree,Strongly Agree,Agree,Agree Slightly,0,50,30,10,10,5,Yes,5 or more years,No,NA,Male,Married,25-44,>$65K,Graduate School,3.75,3.2,5.5,4.5,6
225,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree Slightly,Strongly Agree,Neither Agree Nor Disagree,Strongly Disagree,Strongly Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Agree,Neither Agree Nor Disagree,Disagree Slightly,Strongly Disagree,Disagree,Strongly Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Agree,Strongly Agree,10,50,15,15,10,5,No,Less than 1 year,Yes,No,Female,Divorced,65+,$20K - $29.9 K,Some College,4.4,4.8,4.75,1.75,5.5
226,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,15,30,25,15,15,10,Yes,5 or more years,No,NA,Male,Married,25-44,$30K-$49.9K,Graduate School,6.6,7,6.5,7,7
227,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree Slightly,Strongly Agree,Strongly Agree,Strongly Agree,Agree Slightly,Agree Slightly,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree Slightly,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,5,30,30,30,5,10,Yes,Less than 1 year,No,NA,Female,Single,< 25,$50K-$64.9,Some College,7,6.6,6,6.5,7
228,Agree,Agree,Agree,Agree,Agree,Agree,Agree Slightly,Agree,Agree Slightly,Agree Slightly,Agree Slightly,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,15,30,40,5,10,9,Yes,5 or more years,No,NA,NA,NA,NA,NA,NA,6,5.4,5.75,6,6.25
229,Strongly Agree,Agree Slightly,Agree,Agree,Agree,Strongly Agree,Agree Slightly,Agree,Agree,Agree,Agree Slightly,Agree Slightly,Agree,Agree,Agree,Agree,Agree Slightly,Agree Slightly,Agree,Agree Slightly,Agree Slightly,Agree,5,70,10,10,5,9,Yes,5 or more years,No,NA,Female,Married,25-44,$50K-$64.9,Some College,6,6,5.5,5.5,5.5
230,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,Agree Slightly,Neither Agree Nor Disagree,Agree Slightly,Neither Agree Nor Disagree,Agree Slightly,Neither Agree Nor Disagree,Agree Slightly,Agree Slightly,Agree Slightly,Agree,Agree Slightly,Agree Slightly,Agree Slightly,Agree,Agree Slightly,Neither Agree Nor Disagree,Agree Slightly,Agree,Agree,15,20,20,20,25,7,Yes,5 or more years,Yes,Yes,Male,Married,25-44,$50K-$64.9,College Graduate,4.6,4.6,5.25,5.25,5.25
231,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree Slightly,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,NA,NA,NA,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,18,15,25,20,22,10,Yes,5 or more years,No,NA,Male,NA,NA,$50K-$64.9,High School or Less,6.4,6.8,7,7,7
232,Agree,Agree,Agree Slightly,Agree Slightly,Agree Slightly,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree Slightly,Neither Agree Nor Disagree,Agree,Agree Slightly,Agree,Agree,Agree,Agree,Agree,Agree Slightly,Agree,Agree,10,30,30,20,10,8,Yes,5 or more years,No,NA,Female,Married,25-44,$30K-$49.9K,Some College,5.4,6.4,5,6,5.75
233,Strongly Agree,Strongly Agree,Agree,Agree,Agree Slightly,Agree Slightly,Agree Slightly,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,NA,Neither Agree Nor Disagree,Agree Slightly,Agree,Agree,Agree Slightly,Agree,Agree,Agree,Agree,5,25,25,25,20,9,Yes,5 or more years,No,NA,Female,Married,25-44,$20K - $29.9 K,Graduate School,6.2,5.6,2,5.5,6
234,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree Slightly,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,25,25,25,10,15,10,Yes,5 or more years,No,NA,Male,Married,25-44,$30K-$49.9K,Graduate School,7,6.6,6.5,7,6.25
